iso3,country_name,region,incomeLevel,year,gdp_current_usd,gdp_real_growth_pct,gdp_per_capita_usd,inflation_cpi_pct,unemployment_pct,exports_gdp_pct,imports_gdp_pct,fiscal_balance_gdp_pct,fdi_inflow_gdp_pct
ASM,American Samoa,EAS,HIC,2015,673000000.0,3.14960629921259,12727.4102651386,,,63.5958395245171,98.8112927191679,,
ASM,American Samoa,EAS,HIC,2016,671000000.0,-1.67938931297709,12843.3342903627,,,63.9344262295082,95.230998509687,,
ASM,American Samoa,EAS,HIC,2017,612000000.0,-6.98757763975155,11863.6839452565,,,59.1503267973856,102.287581699346,,
ASM,American Samoa,EAS,HIC,2018,639000000.0,2.6711185308848,12552.0546868861,,,68.2316118935837,103.599374021909,,
ASM,American Samoa,EAS,HIC,2019,647000000.0,-0.487804878048777,12886.1359517218,,,61.6692426584235,94.8995363214838,,
ASM,American Samoa,EAS,HIC,2020,721000000.0,4.41176470588236,14489.2586563775,,,59.2233009708738,95.1456310679612,,
ASM,American Samoa,EAS,HIC,2021,750000000.0,-0.782472613458523,15236.1604875571,,,44.2666666666667,92.5333333333333,,
ASM,American Samoa,EAS,HIC,2022,871000000.0,1.73501577287065,18017.4589383973,,,46.9575200918485,77.7267508610792,,
ASM,American Samoa,EAS,HIC,2023,,,,,,,,,
ASM,American Samoa,EAS,HIC,2024,,,,,,,,,
AUS,Australia,EAS,HIC,2015,1351296372254.31,2.19016928695221,56739.0265346593,1.5083667216592,6.055,20.0661262864303,21.5978056416682,-2.61149575320241,3.47020901785018
AUS,Australia,EAS,HIC,2016,1206836962281.84,2.7593859723839,49888.0410842736,1.2769909449733,5.711,19.2787442533207,21.6953352224542,-2.33667126280374,3.56056595221134
AUS,Australia,EAS,HIC,2017,1325582658156.54,2.27959179820343,53901.7145392154,1.94864740944521,5.592,21.2566174818153,20.9471141947652,-1.75495191035783,3.63608951454837
AUS,Australia,EAS,HIC,2018,1427809041019.44,2.87846971467883,57196.4220783778,1.91140094445694,5.3,21.8940905352475,21.8419745445958,-0.494721898759259,4.25033304779982
AUS,Australia,EAS,HIC,2019,1392723834562.64,2.17154505737176,54972.7017885437,1.6107678729038,5.159,24.1596779983146,22.0278238953145,-0.141014389527345,2.78196787472132
AUS,Australia,EAS,HIC,2020,1328414058378.38,-0.119590735829973,51791.540179984,0.846905537459283,6.456,24.0267391579698,20.6377169074661,-4.97178379976817,1.35325605506287
AUS,Australia,EAS,HIC,2021,1556735770437.26,2.11116814768786,60607.7788605166,2.86391042204996,5.116,22.0566759771447,18.2458042920249,-6.86007722614873,2.0246819461122
AUS,Australia,EAS,HIC,2022,1690858246994.43,4.24238555336139,64997.0136536475,6.59409671341846,3.728,25.5315880289865,20.2901822017406,-1.35113968885938,4.16149504206489
AUS,Australia,EAS,HIC,2023,1728057316695.61,3.44199220009025,64835.9199754535,5.59701492537313,3.668,26.7992411333458,22.4259429260923,,1.91730721115443
AUS,Australia,EAS,HIC,2024,1752193307380.34,1.4311125201703,64407.484256932,3.16161428305747,4.072,24.705209306537,22.6090197065918,,3.09257917824853
BGD,Bangladesh,SAS,LMC,2015,195146608978.131,6.55263987816197,1224.38647668165,6.19428022984985,4.396,17.3366737865485,24.7493225204896,-1.33807311151329,1.4507824552936
BGD,Bangladesh,SAS,LMC,2016,265224515675.034,7.11347821270093,1649.28380858601,5.51352572692994,4.35,13.9212044814459,17.4129456531683,-1.22173341431013,0.879528340271998
BGD,Bangladesh,SAS,LMC,2017,293732446624.596,6.59024999794057,1811.08221668646,5.70207015717244,4.372,12.8197468906003,17.179983781834,-2.93968284398895,0.616341784631384
BGD,Bangladesh,SAS,LMC,2018,321362752441.78,7.31941263014136,1965.24372731467,5.54362139486472,4.407,12.6747879443391,19.8398437797492,-3.5361798688043,0.75354913412869
BGD,Bangladesh,SAS,LMC,2019,351231654603.692,7.88191515117722,2129.79896954606,5.59199639930633,4.441,13.0947573353039,18.4832971559365,-3.92879733231891,0.543244141585063
BGD,Bangladesh,SAS,LMC,2020,373979442362.193,3.44801755122445,2248.85078828233,5.69107474746208,5.436,10.4427880616037,15.8286593146113,-3.94714517667321,0.407859894856915
BGD,Bangladesh,SAS,LMC,2021,416271647911.014,6.93867912442445,2482.84917843357,5.54565430773475,5.327,10.6627789004134,17.0612258032497,-2.82210670527631,0.414118154040593
BGD,Bangladesh,SAS,LMC,2022,460131689083.083,7.09982877575158,2716.48592780431,7.69695437176898,4.593,12.8822264348985,20.897740835675,,0.355308723397177
BGD,Bangladesh,SAS,LMC,2023,437415333018.291,5.77511237007889,2551.01773827307,9.88350303779208,4.454,13.1571638341204,17.8258075763392,,0.316668220633916
BGD,Bangladesh,SAS,LMC,2024,450119424622.389,4.22325911250161,2593.41607390407,10.4657482763412,4.68,10.4611880382843,16.3168883010409,,0.335063462868199
BRN,Brunei Darussalam,EAS,HIC,2015,12930296852.4882,-0.392383487933529,30625.128732694,-0.488347420743483,7.726,52.2130112999105,37.6831770760633,,1.3247117972472
BRN,Brunei Darussalam,EAS,HIC,2016,11400266055.3232,-2.47791776520457,26663.2973199878,-0.278693265753081,8.574,49.5777773330629,37.7420239181075,,-1.32059047200932
BRN,Brunei Darussalam,EAS,HIC,2017,12128168046.7827,1.32872651318183,28024.3824618568,-1.2605056462896,9.316,49.5733065162321,35.6035538991208,,3.85818821533146
BRN,Brunei Darussalam,EAS,HIC,2018,13566908401.1864,0.0523710544736673,30988.1190497851,1.02505179290213,8.7,51.9332397479681,41.9648219488274,,3.80486552547671
